Date,Open,High,Low,Close,Adj Close,Volume,pctChange,delta,EMA12,EMA26,MACD,MACD Signal,RSI,Stochastic,Stochastic SMA
12/11/14,104.440002,106.839996,104.290001,104.970001,104.970001,15684300,0.010492915,Up,107.7091637,107.2408179,0.468345771,1.941884357,42.68473599,19.18396427,24.85026207
12/12/14,104.699997,107.449997,104.179001,105.110001,105.110001,14537600,0.001333714,Up,107.3092925,107.0829796,0.226312879,1.598770061,42.42922017,26.98642613,30.37463395
12/15/14,106.389999,107.769997,103.699997,104.699997,104.699997,16521800,-0.003900714,Down,106.9078624,106.9064624,0.001400033,1.279296055,40.51872237,27.98857352,24.71965464
12/16/14,103.75,107.68,103.699997,105.769997,105.769997,21700600,0.010219676,Up,106.7328062,106.8222798,-0.089473564,1.005542131,34.42193151,25.05368468,26.67622811
12/17/14,107.110001,109.190002,106.279999,109.019997,109.019997,17311100,0.03072705,Up,107.0846817,106.9850736,0.099608074,0.82435532,39.24003078,36.44337827,29.82854549
12/18/14,110.580002,111.199997,108.260002,109.25,109.25,22788100,0.002109732,Up,107.4178076,107.152846,0.264961641,0.712476584,44.67934928,65.00412385,42.16706227
12/19/14,109.93,110.650002,108.040001,110.650002,110.650002,14857800,0.012814664,Up,107.9150683,107.4118946,0.503173722,0.670616012,46.92726387,76.81298374,59.42016196
12/22/14,110.629997,110.980003,108.529999,108.769997,108.769997,13041200,-0.016990555,Down,108.0465958,107.5124947,0.534101037,0.643313017,62.27496969,90.17177762,77.3296284
12/23/14,108.300003,108.470001,103.879997,105.519997,105.519997,19096300,-0.029879563,Down,107.6578883,107.3649023,0.292985958,0.573247605,47.08823174,72.23280375,79.73918837
12/24/14,105.68,107.209999,105.599998,105.949997,105.949997,5870400,0.004075057,Up,107.3951358,107.2600945,0.135041256,0.485606335,40.46562824,43.2,68.53486046
12/26/14,105.989998,106.940002,105.5,105.949997,105.949997,6529100,0,Neutral,107.1728067,107.1630503,0.009756475,0.390436363,43.67801259,47.5,54.31093458
12/29/14,105.949997,107.660004,105.639999,105.980003,105.980003,8068600,0.000283209,Neutral,106.9892985,107.0754171,-0.086118661,0.295125359,46.16556295,47.5,46.06666667
12/30/14,105.639999,106.709999,105.129997,105.75,105.75,10205700,-0.002170249,Down,106.7986372,106.9772381,-0.178600916,0.200380104,53.07234041,47.80006,47.60002
12/31/14,106.459999,106.470001,103.690002,103.940002,103.940002,10283400,-0.01711582,Down,106.3588471,106.7522576,-0.393410491,0.081621985,44.08859345,29.12873155,41.47626385
1/2/15,104.239998,104.720001,102.519997,103.599998,103.599998,12303400,-0.003271156,Down,105.9344088,106.5187569,-0.584348106,-0.051572033,50.74004397,3.328897023,26.75256286
1/5/15,102.760002,103.019997,99.900002,101,101,18337000,-0.025096506,Down,105.175269,106.1099601,-0.934691114,-0.22819585,42.72305089,12.44240783,14.9666788
1/6/15,101.25,103.849998,100.110001,103.32,103.32,15720400,0.022970297,Up,104.889843,105.9032964,-1.013453401,-0.38524736,40.82413314,9.734499883,8.501934913
1/7/15,104.589996,104.739998,102.029999,102.129997,102.129997,11052200,-0.011517644,Down,104.4652513,105.6237927,-1.158541433,-0.539906175,46.29726654,30.26548242,17.48079671
1/8/15,102.949997,105.339996,102.68,105.029999,105.029999,12942100,0.028395203,Up,104.5521356,105.579808,-1.027672451,-0.63745943,43.11736397,19.73447776,19.91148669
1/9/15,105.239998,105.300003,102.889999,103.019997,103.019997,10167300,-0.019137409,Down,104.3164219,105.3901924,-1.073770445,-0.724721633,36.93689739,45.39822363,31.7993946
1/12/15,103.199997,103.360001,101.209999,101.620003,101.620003,7997200,-0.013589536,Down,103.9015883,105.1109191,-1.20933084,-0.821643474,32.77856086,28.1587971,31.09716616
1/13/15,102.589996,102.849998,100.010002,100.769997,100.769997,11294400,-0.008364554,Down,103.419805,104.7893693,-1.369564325,-0.931227645,26.47142978,15.52347333,29.69349802
1/14/15,99.279999,100.18,98.059998,99.580002,99.580002,17808000,-0.011809021,Down,102.8290661,104.4034902,-1.574424186,-1.059866953,26.80669844,10.15163479,17.94463507
